sha,author_id,committer_id,message_label,parents_sha,commit_date
14e09c47d55c07672d127b34e25018e89549c124,1020496,19864447,CLN,d062d9e7002aaf65e6e7654a566e46559a95eb8c,2022-01-19
d062d9e7002aaf65e6e7654a566e46559a95eb8c,8078968,19864447,REF,59ba159e6557a9f539d9dc88bb536f40ad35c2b6,2022-01-19
59ba159e6557a9f539d9dc88bb536f40ad35c2b6,8078968,19864447,compat,399962c22ce709bd18de324e3d54d0e077423ba3,2022-01-19
399962c22ce709bd18de324e3d54d0e077423ba3,8078968,19864447,CI,bc2a383c7615edadf2f1cd78541314ecb9b20857,2022-01-18
bc2a383c7615edadf2f1cd78541314ecb9b20857,1020496,19864447,DOC,7b3203973225d5156ac9987c4ad093b2f7040d2c,2022-01-18
7b3203973225d5156ac9987c4ad093b2f7040d2c,10647082,19864447,CI/DOC,e08ffd4a5109c41a38cd89fb6965485538c241aa,2022-01-18
e08ffd4a5109c41a38cd89fb6965485538c241aa,10647082,19864447,BENCH,ebe4dc71d0bf2c5a07761cef7c958b57071aae1b,2022-01-18
ebe4dc71d0bf2c5a07761cef7c958b57071aae1b,8078968,19864447,REGR,91f12c44d94b4d399e3f2321edb7c35c91998242,2022-01-18
91f12c44d94b4d399e3f2321edb7c35c91998242,1020496,19864447,CI/TST,21b7dafcb24305ea47ef5a5ee6e7475f768bcdd0,2022-01-18
21b7dafcb24305ea47ef5a5ee6e7475f768bcdd0,8078968,19864447,CI,388ecf3d0804d7596876b53d96eb34de5bdcf8a3,2022-01-17
388ecf3d0804d7596876b53d96eb34de5bdcf8a3,10647082,19864447,MISC,439906e07dbad5b7047d7e15e37feedd3ae03df8,2022-01-17
439906e07dbad5b7047d7e15e37feedd3ae03df8,8927258,19864447,BUG,006400f152d4bcc000c5d764c07fec456b24e265,2022-01-17
006400f152d4bcc000c5d764c07fec456b24e265,10647082,19864447,DOC,45460157b23f1fd6530c47ed0c2cdc354f4b27d7,2022-01-17
45460157b23f1fd6530c47ed0c2cdc354f4b27d7,5510940,19864447,ENH,56498ae337602fd11a3c8d0e75cc5ef5d9ffe77e,2022-01-17
56498ae337602fd11a3c8d0e75cc5ef5d9ffe77e,8078968,19864447,CLN,c2fc924b2830ca525eee69831c20b25d0030af07,2022-01-17
c2fc924b2830ca525eee69831c20b25d0030af07,8078968,19864447,PERF,7ac3361a90e6281b3338809859e4bc0c8375242f,2022-01-17
7ac3361a90e6281b3338809859e4bc0c8375242f,8078968,19864447,DEPR,71c94af0045c4d5aa8a001e92b76478e67b7f4ec,2022-01-17
71c94af0045c4d5aa8a001e92b76478e67b7f4ec,8078968,19864447,BUG/PERF,2e5b05e5773f02b653d66373787b493bc3cf3abc,2022-01-17
2e5b05e5773f02b653d66373787b493bc3cf3abc,37349208,19864447,STYLE,ca5d9ee9d1eae7c642634413cb22092e0c9334ea,2022-01-17
ca5d9ee9d1eae7c642634413cb22092e0c9334ea,10647082,19864447,DOC,d437902f46acbff4a03d748b30620bc75fa5ea1f,2022-01-17
d437902f46acbff4a03d748b30620bc75fa5ea1f,47963215,19864447,CI,d19a31e88a60ed36c0431c28dd58f32caf103028,2022-01-17
d19a31e88a60ed36c0431c28dd58f32caf103028,24256554,19864447,BUG,4e034ec0006b6c05160ce67ea1420ce28f295c91,2022-01-17
4e034ec0006b6c05160ce67ea1420ce28f295c91,8078968,19864447,DEPR,e6a20bdef21a8420672f9d564b82e16faebb64ba,2022-01-17
e6a20bdef21a8420672f9d564b82e16faebb64ba,47963215,19864447,API,23f12a13fee57d59dc2b493c360db1ce6e9f16f3,2022-01-17
23f12a13fee57d59dc2b493c360db1ce6e9f16f3,8078968,19864447,CLN,07732d7b7df8bbc331447a3d0be02e6f9b01be7b,2022-01-17
07732d7b7df8bbc331447a3d0be02e6f9b01be7b,8078968,19864447,CLN,adec4febedbd7c987639ca57563ad2e190405e92,2022-01-17
adec4febedbd7c987639ca57563ad2e190405e92,1020496,19864447,REGR,ab42f85f192ab054a18f94825ced1bb4c1ab7d3f,2022-01-16
ab42f85f192ab054a18f94825ced1bb4c1ab7d3f,8078968,19864447,REF,6cc5584bba59ef8f06d4dc901dc39ddd08d1519f,2022-01-16
6cc5584bba59ef8f06d4dc901dc39ddd08d1519f,6618166,19864447,REG/REF,3743dbcb60a1f0a5a1a7e3d84ac27c10c6090a64,2022-01-16
3743dbcb60a1f0a5a1a7e3d84ac27c10c6090a64,24376333,19864447,BUG,1d57c89eac22cb01e7a2c063cb9e564a1d667c62,2022-01-16
1d57c89eac22cb01e7a2c063cb9e564a1d667c62,10647082,19864447,Fix,fafb129c997bd82b1baa88560baf0a782790a4b6,2022-01-16
fafb129c997bd82b1baa88560baf0a782790a4b6,8078968,19864447,BUG,793ac8b99f6f853128255a5a7c7c1bb64c47a726,2022-01-16
793ac8b99f6f853128255a5a7c7c1bb64c47a726,8078968,19864447,BUG,ceedfa92599ab376e7782181e6c01cef09534b56,2022-01-16
ceedfa92599ab376e7782181e6c01cef09534b56,8078968,19864447,REF,7abddcd7cc23e2a82f3a4661a98ac3bad0153fa1,2022-01-16
7abddcd7cc23e2a82f3a4661a98ac3bad0153fa1,10647082,19864447,DOC,43245c93bf286a460edda9f80a2f154ff7ee6924,2022-01-16
43245c93bf286a460edda9f80a2f154ff7ee6924,8078968,19864447,REF,09d693f445186a3e67ba2f0652e61ca7650ed4f4,2022-01-16
09d693f445186a3e67ba2f0652e61ca7650ed4f4,8078968,19864447,REF,ae5b2b7bab84a9c276ca14d0a46060735a0bd601,2022-01-16
ae5b2b7bab84a9c276ca14d0a46060735a0bd601,8078968,19864447,ENH,5357f795757ac026c506134b4500a14068196f3f,2022-01-16
5357f795757ac026c506134b4500a14068196f3f,1020496,19864447,BUG,be20b2d903c21b961f45a22d51137944732cfcbb,2022-01-16
be20b2d903c21b961f45a22d51137944732cfcbb,45562402,19864447,DOC,a659f1df7aa13282122fed472756e3b38b34ce55,2022-01-16
a659f1df7aa13282122fed472756e3b38b34ce55,7614606,19864447,PERF,e3ff3d95d7f87e6c0b24c5ad2983e84778c95741,2022-01-16
e3ff3d95d7f87e6c0b24c5ad2983e84778c95741,8078968,19864447,REGR,39b7a6d5614dc2a3e0ce9d799fa1dc98c1e3cfd5,2022-01-16
39b7a6d5614dc2a3e0ce9d799fa1dc98c1e3cfd5,8078968,19864447,BUG,c80f656aad987881dac5cbccfc957dc6c3cef866,2022-01-16
c80f656aad987881dac5cbccfc957dc6c3cef866,8078968,19864447,BUG,37c43da9ec4ced1108a4ed5320a1d3175f88eaec,2022-01-16
37c43da9ec4ced1108a4ed5320a1d3175f88eaec,8078968,19864447,BUG,db5c087a7e126c9e87f75968067ba756b3747333,2022-01-16
db5c087a7e126c9e87f75968067ba756b3747333,8078968,19864447,BUG,d2ef7e9a3f46489a1fa57c957d8c3ce664622723,2022-01-16
d2ef7e9a3f46489a1fa57c957d8c3ce664622723,8078968,19864447,BUG,94f976fd43c6ce00adb6d4b4d3e7c0bef8d78788,2022-01-16
94f976fd43c6ce00adb6d4b4d3e7c0bef8d78788,10647082,19864447,DOC,5ceeb43a908b9e885c7fe3cc91e4b446255156a9,2022-01-16
5ceeb43a908b9e885c7fe3cc91e4b446255156a9,10647082,19864447,DOC,5acb14b786b3e2f5cdcb54e158323608d19c0422,2022-01-16
5acb14b786b3e2f5cdcb54e158323608d19c0422,8078968,19864447,BUG,51675d0839480ba7ada44cc93ba8a8df94d33de0,2022-01-16
51675d0839480ba7ada44cc93ba8a8df94d33de0,8078968,19864447,DEPR,f2a0125663bbcf8701347c00329c311e7391608e,2022-01-16
f2a0125663bbcf8701347c00329c311e7391608e,10647082,19864447,CI,e255e56fa086e06127268e409adb82f440326273,2022-01-16
e255e56fa086e06127268e409adb82f440326273,10647082,19864447,DEPR,e84b9ee40075d8d9ad2eb217a5d9671e7b9073dd,2022-01-16
e84b9ee40075d8d9ad2eb217a5d9671e7b9073dd,37801658,19864447,BUG,96f2f2aff10666aa2b8118174a3f39a2e88a0bf4,2022-01-16
96f2f2aff10666aa2b8118174a3f39a2e88a0bf4,10647082,19864447,CI,83ea173d150e715790ce7a1b2d329b3eeb4c3ea0,2022-01-14
83ea173d150e715790ce7a1b2d329b3eeb4c3ea0,8078968,19864447,BUG,e53bda9e64c067f5612e069830acbf314ece7242,2022-01-14
e53bda9e64c067f5612e069830acbf314ece7242,10647082,19864447,TST,5b2f4a531f38b8cc8a0b372aeae09c1d94fc99e8,2022-01-14
5b2f4a531f38b8cc8a0b372aeae09c1d94fc99e8,8078968,19864447,BUG,a377f03b190d2802b0061669e8676450205bc479,2022-01-13
a377f03b190d2802b0061669e8676450205bc479,8078968,19864447,REF,2026854c5bad34af7c6584a3d35d472e64b95172,2022-01-13
2026854c5bad34af7c6584a3d35d472e64b95172,10647082,19864447,TST,e432d2adc2957c0020517f4b492dfb76fefd1767,2022-01-13
e432d2adc2957c0020517f4b492dfb76fefd1767,8078968,19864447,DEPR,50ac4981e0b2dca5fc0c353ddcf3b900925bce9b,2022-01-13
50ac4981e0b2dca5fc0c353ddcf3b900925bce9b,1020496,19864447,CI/DOC,ad190575aa75962d2d0eade2de81a5fe5a2e285b,2022-01-13
ad190575aa75962d2d0eade2de81a5fe5a2e285b,8078968,19864447,BUG,4f99c32b17f4b89383991e4702262b4ea3e3813d,2022-01-12
4f99c32b17f4b89383991e4702262b4ea3e3813d,8078968,19864447,BUG,aa8a3ba7c67b0d27fd0d1d103a84436dda9d4100,2022-01-12
aa8a3ba7c67b0d27fd0d1d103a84436dda9d4100,24256554,19864447,DOC,ab5c5a383e7bc5c5f8abd51a315dd85de6087039,2022-01-12
ab5c5a383e7bc5c5f8abd51a315dd85de6087039,8078968,19864447,REF,a1ed4b203c6a49c37d552b2ed22d2b0e6bf510cd,2022-01-12
a1ed4b203c6a49c37d552b2ed22d2b0e6bf510cd,8078968,19864447,DEPR,ba2473834fedcf571d3f8245b4b24796873f2736,2022-01-12
ba2473834fedcf571d3f8245b4b24796873f2736,23830955,19864447,DOC,d4b73caded3ec074b9c63f32ba0d8a4e234420c0,2022-01-12
d4b73caded3ec074b9c63f32ba0d8a4e234420c0,10647082,19864447,CI,5ba7d714014ae8feaccc0dd4a98890828cf2832d,2022-01-12
5ba7d714014ae8feaccc0dd4a98890828cf2832d,8078968,19864447,CLN,763de5df710e7c0ed052c3dfc6b0dad9c8e54faf,2022-01-11
763de5df710e7c0ed052c3dfc6b0dad9c8e54faf,10647082,19864447,Bump,c377e3cb81cb1674bca23992773d78cbcae7c3cb,2022-01-10
c377e3cb81cb1674bca23992773d78cbcae7c3cb,8078968,19864447,REF,d3c62add5810424e2d940d341209b2a74e7b1c1b,2022-01-10
d3c62add5810424e2d940d341209b2a74e7b1c1b,61934744,19864447,TYP,37c33438837cbb7e41a949b44a20c82b82289498,2022-01-10
37c33438837cbb7e41a949b44a20c82b82289498,8078968,19864447,BUG,5940f15df5b9f3d16f1f98ac56e442b2338b4342,2022-01-10
5940f15df5b9f3d16f1f98ac56e442b2338b4342,8078968,19864447,BUG,9ec76dee1666a643a12b12e69314d0f75dd76bf6,2022-01-10
9ec76dee1666a643a12b12e69314d0f75dd76bf6,10647082,19864447,TST,dbe2b49cc24b94767693ad17db697b876ae43c7b,2022-01-10
dbe2b49cc24b94767693ad17db697b876ae43c7b,10647082,19864447,TST,60691328bc1f5b299f2454b849971a61ad3dead1,2022-01-10
60691328bc1f5b299f2454b849971a61ad3dead1,8078968,19864447,TST,76747f99b10eb1eefd4b5874e83fd9927d4b7e86,2022-01-10
76747f99b10eb1eefd4b5874e83fd9927d4b7e86,8078968,19864447,BUG,345070bed36b40c446012d081241647fa5c443c8,2022-01-10
345070bed36b40c446012d081241647fa5c443c8,8078968,19864447,BUG/PERF,ad9d42a4c847eb9f341dd6743466a4bed70a0a6e,2022-01-10
ad9d42a4c847eb9f341dd6743466a4bed70a0a6e,8078968,19864447,BUG,b17cedd9126426c9801338bef92eb111d93159fe,2022-01-10
b17cedd9126426c9801338bef92eb111d93159fe,10647082,19864447,TST,181063180a81385f69fe03fd464df940954b0308,2022-01-10
181063180a81385f69fe03fd464df940954b0308,10647082,19864447,TST,d603d43df2057ecdf74010d9dadc735e37f8f7b5,2022-01-10
d603d43df2057ecdf74010d9dadc735e37f8f7b5,61934744,19864447,TYP,e5cf25bf2bf6041938a6a90c32c5ce230c186f93,2022-01-10
e5cf25bf2bf6041938a6a90c32c5ce230c186f93,45562402,19864447,Fix,2cb60c7f2fa6804455453021b9487955a04cd8bd,2022-01-10
2cb60c7f2fa6804455453021b9487955a04cd8bd,361477,19864447,TYP,ccb25ab1d24c4fb9691270706a59c8d319750870,2022-01-10
ccb25ab1d24c4fb9691270706a59c8d319750870,8078968,19864447,Revert,b77797cde57969b3ee14d961f4dacd5cab25cb61,2022-01-09
b77797cde57969b3ee14d961f4dacd5cab25cb61,8078968,19864447,ENH,e681fcdfa6261e99d902b019a6ffabc175d664aa,2022-01-08
e681fcdfa6261e99d902b019a6ffabc175d664aa,45828280,19864447,BUG,ec79b2b2acc2d3e7265fbc8e1be2348e92b59cd1,2022-01-08
ec79b2b2acc2d3e7265fbc8e1be2348e92b59cd1,16210997,19864447,BUG,c57f883e24405fb4ee561ded1612acf4f4f2bdef,2022-01-08
